url,views,likes,comments,shares,upload_date,duration_s,hashtags
https://www.tiktok.com/@happydog541/video/7502441057032899871,,12.7K,253,2249,,,"#happydog,#dog,#funnyvideos,#funnydogs,#dogsoftiktok,#cutedog"
https://www.tiktok.com/@dogpark098/video/7500033636205432110,,3.9M,12.1K,495.2K,,,"#dog,#dogsoftiktok,#fyp,#foryou,#funny,#pet,#puppy"
https://www.tiktok.com/@overtime/video/7502275300475014443,,1.6M,59.2K,1M,,,"#dog,#pee,#wow,#shoutoutot"
https://www.tiktok.com/@myla.thebluestaffy/video/7502552645865835798,,128.8K,302,21.9K,,,"#staffy,#mylathebluestaffy,#talkingdog,#staffordshirebullterrier,#bluestaffy,#staffie,#dogtrend,#viraldog,#mylaslife,#dogtok,#funnydog,#dogfail"
https://www.tiktok.com/@aguyandagolden/video/7502820664823368991,,35.5K,804,1704,,,
https://www.tiktok.com/@funnycutezdog/video/7502119298962378015,,235.4K,183,9315,,,"#funnydog,#funnypet,#cutedog,#dogoftiktok,#doglover,#dog"
https://www.tiktok.com/@doberman_louis_hemi_law/video/7502830711951396114,,1399,74,77,,,"#ドーベルマン,#doberman,#dobie,#dobermanpinscher,#dobermann,#dobermanpride,#dogasmr,#asmr,#咀嚼音,#犬ご飯,#mukbang,#rawfood,#dogmukbang,#dogeating,#犬の咀嚼音,#rawfeeding"
https://www.tiktok.com/@julissa.pradeep/video/7500535177819491626,,1.3M,4554,190.1K,,,"#dog,#funny,#funnyanimals,#funnypets,#animals,#dogsofttiktok,#pet,#foryou,#longervideos"
https://www.tiktok.com/@pugloulou/video/7502152344965106966,,624.9K,976,121.5K,,,"#pug,#dog,#dogsoftiktok,#petsoftiktok"
https://www.tiktok.com/@funny.dogs.3009/video/7502739756854381855,,372,13,72,,,"#dog,#dogsoftiktok,#dogtok,#pet,#doglife,#funny,#funnyvideos,#dogfunnyvideo,#petsoftiktok,#fyp"
https://www.tiktok.com/@haleyandthepets/video/7501017781153058094,,865.7K,1591,131K,,,"#foryou,#foryoupage,#dogs,#dunkindadawg,#viral,#fyp"
https://www.tiktok.com/@a_golden_fam/video/7502815582983687454,,354,9,10,,,"#goldenretriever,#dogtalk,#dog"
https://www.tiktok.com/@k9konvoy/video/7502912398135807278,,3859,143,132,,,"#dogpack,#dogsnacks,#dogsoftiktok,#doglovers"
https://www.tiktok.com/@its_princesspenny/video/7502816492220615944,,6594,159,560,,,"#puppy,#cockerspaniel,#bluey,#dogsoftiktok,#fyp,#blueytok"
https://www.tiktok.com/@funnyanimals_tblack001/video/7500922605348703510,,13.7K,86,1102,,,"#funnydog,#funnypet,#cutedog,#dogsoftiktok,#doglover,#dog"
https://www.tiktok.com/@girl.masti/video/7500841887985569047,,9845,196,125,,,"#dogmeeting,#foryou,#viral_video,#unfreezemyacount,#puppydog,#trending,#santawithkashmir,#dog"
https://www.tiktok.com/@nhamomusic/video/7502876633892785450,,2201,66,54,,,"#fyp,#foryou,#viral,#trending,#rescuedog,#rescuepet,#talkingdog,#sendhelp,#sassydog,#cutedog,#dogsoftiktok,#petsoftiktok"
https://www.tiktok.com/@thienlovescrumblcookie/video/7502892466874535214,,5527,14,1608,,,"#me,#nerd,#glasses,#dog,#dogs"
