likes,comments,shares,hashtags,num_hashtags
12700,253,2249,"['#happydog', '#dog', '#funnyvideos', '#funnydogs', '#dogsoftiktok', '#cutedog']",6
3900000,12100,495200,"['#dog', '#dogsoftiktok', '#fyp', '#foryou', '#funny', '#pet', '#puppy']",7
1600000,59200,1000000,"['#dog', '#pee', '#wow', '#shoutoutot']",4
128800,302,21900,"['#staffy', '#mylathebluestaffy', '#talkingdog', '#staffordshirebullterrier', '#bluestaffy', '#staffie', '#dogtrend', '#viraldog', '#mylaslife', '#dogtok', '#funnydog', '#dogfail']",12
235400,183,9315,"['#funnydog', '#funnypet', '#cutedog', '#dogoftiktok', '#doglover', '#dog']",6
1399,74,77,"['#ドーベルマン', '#doberman', '#dobie', '#dobermanpinscher', '#dobermann', '#dobermanpride', '#dogasmr', '#asmr', '#咀嚼音', '#犬ご飯', '#mukbang', '#rawfood', '#dogmukbang', '#dogeating', '#犬の咀嚼音', '#rawfeeding']",16
1300000,4554,190100,"['#dog', '#funny', '#funnyanimals', '#funnypets', '#animals', '#dogsofttiktok', '#pet', '#foryou', '#longervideos']",9
624900,976,121500,"['#pug', '#dog', '#dogsoftiktok', '#petsoftiktok']",4
372,13,72,"['#dog', '#dogsoftiktok', '#dogtok', '#pet', '#doglife', '#funny', '#funnyvideos', '#dogfunnyvideo', '#petsoftiktok', '#fyp']",10
865700,1591,131000,"['#foryou', '#foryoupage', '#dogs', '#dunkindadawg', '#viral', '#fyp']",6
354,9,10,"['#goldenretriever', '#dogtalk', '#dog']",3
3859,143,132,"['#dogpack', '#dogsnacks', '#dogsoftiktok', '#doglovers']",4
6594,159,560,"['#puppy', '#cockerspaniel', '#bluey', '#dogsoftiktok', '#fyp', '#blueytok']",6
13700,86,1102,"['#funnydog', '#funnypet', '#cutedog', '#dogsoftiktok', '#doglover', '#dog']",6
9845,196,125,"['#dogmeeting', '#foryou', '#viral_video', '#unfreezemyacount', '#puppydog', '#trending', '#santawithkashmir', '#dog']",8
2201,66,54,"['#fyp', '#foryou', '#viral', '#trending', '#rescuedog', '#rescuepet', '#talkingdog', '#sendhelp', '#sassydog', '#cutedog', '#dogsoftiktok', '#petsoftiktok']",12
5527,14,1608,"['#me', '#nerd', '#glasses', '#dog', '#dogs']",5
776100,3424,175300,"['#dog', '#dogs', '#doglovers', '#dogoftiktok', '#fyp', '#fypツ', '#foryou', '#funny', '#foryoupage', '#funnyvideos', '#funnydog', '#funnytiktok', '#funnyanimals']",13
1132,2436,22,"['#art', '#drawing', '#tiktokart', '#foryou', '#profilepicture']",5
59,4,3,"['#goldenretriever', '#pov', '#puppy', '#funnyvideo']",4
11100,200,2244,"['#foryou', '#dogmeetingpuppy', '#unfreezemyaccoun', '#growmyaccount', '#virltiktok', '#viralvideos', '#foryoupagee', '#sat']",8
130,5,8,"['#puppytrend', '#dogtrend', '#goldenretriever', '#goldenretrieverpuppy']",4
287,7,13,['#dog'],1
1900000,3198,390300,"['#foryou', '#foryoupage', '#viral', '#dunkindadawg', '#fyp']",5
847500,2393,213700,"['#me', '#germanshepherd', '#germanshepherds', '#dog', '#dogs']",5
4800000,16800,282000,"['#cattledog', '#australiancattledog', '#blueheeler', '#sickpet']",4
114,4,3,['#dog'],1
31000000,193000,4900000,"['#SunsetViews', '#Dog', '#sunset']",3
947500,4274,121800,"['#puppy', '#cockerspaniel', '#dogsoftiktok', '#puppylove', '#cutepuppy']",5
223600,1120,36800,"['#dog', '#cachorro', '#perros', '#dogsoftiktok', '#perro', '#dogs', '#bebes', '#amor', '#risas', '#viralvideos', '#loveyou', '#besos', '#relationship', '#puppy', '#miraflores_lima_peru', '#sanisidro', '#arequipa', '#viralvideos', '#perú', '#peru', '#lima']",21
36100,73,4742,['#dog'],1
715700,9899,231300,"['#groomin', '#grooming', '#love', '#dogsoftiktok', '#dog', '#pomeranian', '#lovely', '#puppy', '#fyp', '#반려동물', '#포메라니안', '#foryou', '#viral', '#포메미용', '#포메틱톡', '#doggy', '#groom']",17
4700000,7223,1100000,"['#dog', '#dogsoftiktok', '#goldenretriever']",3
6200000,15600,454500,"['#dachshund', '#dog', '#dachshundpuppy', '#puppy', '#mylove']",5
517900,3232,99500,"['#dog', '#cute', '#puppy', '#pets', '#doglover', '#cutedog']",6
9300000,29200,1300000,"['#cockerspaniel', '#cockerspanielpuppy', '#puppy', '#disneyprincess', '#fyp', '#dogs', '#dogsoftiktok', '#puppylove']",8
1800000,6201,467900,"['#ilytommy', '#fyp', '#fypシ', '#fyppppppppppppppppppppppp', '#explore', '#explorepage', '#undergroundmusic', '#viral', '#viralvideo', '#dog', '#musicforyou', '#boat', '#dogsoftiktok', '#funnyvideos', '#doglover', '#pet', '#petsoftiktok', '#petlover', '#dogtok', '#jerk', '#hoodtrap', '#meme', '#tiktok']",23
862700,3656,211800,"['#dog', '#ranking', '#funnymoments', '#fyp', '#usa🇺🇸']",5
1700000,3408,106100,"['#goldenretriever', '#puppy', '#goldenpuppy', '#dogs', '#dogsoftiktok']",5
3600000,10200,552400,"['#puppy', '#toy', '#poodle', '#dc', '#sweet', '#mydog', '#love']",7
2700000,8200,439300,"['#tailwag', '#thecutest', '#lovehersomuch', '#precious', '#lovedog', '#dogsoftiktok']",6
653900,13700,163800,"['#cutedog', '#foryou', '#fyp', '#bichonfrise']",4
3100000,15200,368100,"['#fyp', '#foryou', '#foryoupage', '#fy', '#funny', '#dogsoftiktok', '#dogs', '#labrador']",8
942200,3408,86600,"['#toypoodles', '#texastoypoodles', '#dogsoftiktok', '#toypoodlepuppy', '#dfwplatinumpoodles💞', '#dogmomsoftiktok', '#poodlelover', '#fortworthtexas', '#dfw', '#dogmom', '#puppylove', '#puppy', '#dallas', '#toypoodlesoftiktok', '#toypoodle']",15
630700,5454,74700,"['#lobotomy', '#hairlessdog', '#chihuahua', '#hairlesschihuahua', '#dog', '#braincells', '#silly', '#funny', '#dogs', '#dogsoftiktok', '#tiktokdogs', '#random', '#scarytiktoks', '#asmr', '#relatable']",15
1300000,1141,143500,"['#dog', '#viral', '#foryou', '#foryourpage', '#fyp', '#trending', '#puppy', '#puppytok']",8
2000000,2602,209300,"['#fyp', '#dogsoftiktok', '#staffy', '#staffordshirebullterrier', '#staffylove', '#staffyoftiktok', '#puppy', '#cute', '#viral', '#explore', '#explorepage', '#blowthisup', '#unitedkingdom', '#fypage', '#beautiful', '#uk', '#animals', '#natgeo', '#bluestaffy', '#puppiesoftiktok', '#baby', '#relatable', '#funnypuppy', '#fail', '#funnydog', '#viralvideo', '#findingnemo', '#imapiranha', '#fish', '#dentist', '#pixar', '#disney']",32
797800,5098,304000,"['#fyp', '#dog']",2
1200000,2853,195800,"['#dogs', '#stubborn', '#menace', '#meme', '#funny']",5
1100000,30500,107500,"['#trainingdogs', '#dog', '#dogsoftiktok', '#dogk9', '#foryou', '#fypシ゚viral', '#militarydog', '#smartdog', '#trending', '#viral', '#k9', '#malinois', '#handler']",13
16800000,42500,2400000,"['#dalmatian', '#dalmatiansoftiktok', '#dalmatianpuppy', '#showdogsoftiktok', '#showdog', '#fypage', '#fypシ゚viral', '#hearteyes', '#hearteyeddalmatian', '#dogsofttiktok', '#hearteyed', '#heterochromia', '#fypシ', '#heartdog', '#dogtok', '#dog', '#dalmatians', '#puppiesoftiktok', '#puppies']",19
13900000,67200,4700000,"['#fyp', '#loseit', '#eminem', '#dogsoftiktok', '#doggrooming', '#crazydog']",6
65099,561,8881,['#dog'],1
448200,10200,70100,"['#fyp', '#foryou', '#dog', '#dogs', '#dogsoftiktok', '#funnydog', '#funny', '#pets', '#germanshepherd', '#animals', '#love', '#laugh', '#doglife', '#doglover', '#puppy', '#fy', '#fypage', '#life', '#tiktok']",19
3900000,11700,333700,"['#kona', '#huskytalk', '#dramaqueen', '#konamalone', '#huskykona', '#konahusky', '#mygirl', '#funny', '#talkingdog', '#fyp', '#foryoupage', '#puppy', '#dogsoftiktok', '#getoutside', '#huskiesoftiktok', '#dog', '#petsoftiktok', '#happygirl', '#ontario', '#canada']",20
3400000,9744,134400,"['#gsp', '#gspoftiktok', '#gspcommunity', '#gspoftheday', '#gsplove', '#gsppuppy', '#gspdaily', '#gspworld', '#doggos4prez', '#germanshorthairedpointer', '#dogsoftiktok', '#puppiesoftiktok', '#dogyawns', '#puppy', '#puppyyawn']",15
539600,1953,29400,"['#fyp', '#dog', '#dogsoftiktok', '#dogtok', '#dogsvideo', '#funny', '#trending', '#jokes']",8
1100000,2802,54300,"['#australianshepherd', '#maverick', '#fyp', '#trending', '#xyzbca', '#relatable', '#puppy', '#funny']",8
4000000,10900,693800,"['#cotondetulear', '#dogsoftiktok', '#cutedoglife']",3
1500000,10800,134300,"['#asrm', '#asrmsounds', '#asrmvideo', '#cunyeu', '#dog', '#fyp', '#cute', '#pet', '#xh', '#thucung', '#poodle', '#bunquystoc']",12
676800,5542,71400,"['#dogsoftiktok', '#miniaturedachshund', '#miniaturedachshundpuppy', '#puppy', '#dachshundaddict', '#fyp', '#puppydog', '#dachshundsoftiktok', '#puppytiktok']",9
1900000,2699,274800,"['#fyp', '#wienerdog', '#dogsoftiktok', '#dog', '#dogtok', '#viral_video', '#dackel', '#trendingvideo', '#wienerdogs']",9
541700,22600,65000,"['#puppy', '#goldenretrieverlife', '#cute', '#fyp']",4
2400000,9191,427700,"['#dog', '#beaglepuppy', '#бігль', '#beagle', '#beagle']",5
129100,1106,63500,"['#fyp', '#dog', '#dogs', '#funnydog', '#funnyvideo', '#pet', '#dogsoftiktok']",7
1500000,8983,127500,"['#germanshepherd', '#gsd', '#germanshepherdsoftiktok', '#germanshepherdpuppy', '#gsdpuppy', '#gsdlove', '#gsdoftiktok', '#germanshepherddog', '#germanshepherdlife', '#puppy', '#puppytiktok', '#gsdlife', '#germanshepherdsdaily', '#germanshepherds', '#headtilt']",15
518900,7211,95500,"['#cute', '#cutedog', '#puppy', '#puppydog', '#doglover', '#pet', '#fyp', '#animals', '#funny', '#funnyvideos']",10
2600000,17800,1300000,['#dog'],1
2200000,3734,69500,"['#foryoupageofficial', '#dogsoftiktok', '#dog', '#dogs', '#fypage', '#fyp', '#foryoupage', '#cute', '#dogmom', '#foryoupage❤️❤️', '#fypageシ']",11
1900000,17800,417400,"['#dogs', '#dogsoftiktok', '#funnyvideos', '#pets', '#cutedog', '#funny', '#foryou']",7
493000,1819,121200,"['#dog', '#dogs', '#fyp', '#pet', '#funny', '#funnydog', '#dogtiktok']",7
3100000,16500,646300,"['#dog', '#funny', '#funnyanimals', '#funnypets', '#animals', '#dogsofttiktok', '#pet', '#foryou', '#longervideos']",9
3100000,30500,978500,"['#dog', '#dogsoftiktok', '#happy', '#happydog', '#funnyvideos', '#fyp', '#foryou', '#doglover']",8
4300000,4295,622900,"['#hopecore', '#core', '#dog', '#relatable', '#blowthisup', '#dogsoftiktok']",6
5300000,14100,870600,"['#dachshund', '#dachshundsoftiktok', '#dachshundpuppy', '#dachshundaddict', '#dachshunds', '#dachshundlife', '#dachshundlove', '#longhairdachshund', '#dogsoftiktok', '#dog', '#dogs', '#doglover', '#dogmom', '#dogtok', '#doglife', '#wienerdog']",16
3100000,88600,150300,"['#animal', '#animalrescue', '#dog', '#fyp']",4
228600,5351,161600,"['#monday', '#mondaymood', '#foryou', '#fyp', '#following', '#dogsoftiktok', '#dalmatiansoftiktok', '#funnyvideos', '#laugh', '#viralvideo', '#newtotiktok', '#newtrend', '#dogsoftiktok', '#dogs', '#doglover', '#doglife', '#dogdad', '#dalmatians', '#dallastexas']",19
921600,19100,8885,"['#notfriendly', '#dogs', '#offleash', '#reaction', '#americanbulldog', '#dogsoftiktok', '#elsalioncub', '#fyp', '#for']",9
2600000,7871,350500,"['#foryou', '#dog', '#cute', '#funnyvideo', '#fyp', '#funny']",6
741300,1271,104200,"['#rottweiler', '#puppy', '#puppiesoftiktok', '#dogsoftiktok']",4
567200,6752,367900,"['#baddog', '#dollargeneral', '#goldenretriever', '#fyp']",4
2000000,5154,210500,"['#dog', '#dogs', '#fouryou', '#funny', '#fnnyvideos', '#funnydog', '#fyp', '#fypシ', '#pet', '#cute', '#doglove', '#dogfunny', '#loveyou', '#funnytiktok', '#cutedog', '#funnymoments', '#doggo']",17
1600000,23400,127800,"['#bearfromtiktok', '#k18results', '#viral', '#trending', '#baddogsoftiktok', '#purringdog', '#petsoftiktok', '#growlking', '#ohnono', '#ohno', '#guarddog']",11
2100000,2800,395300,"['#dogcontent', '#dogsoftiktok', '#doberman', '#funny']",4
450400,5352,41300,"['#fy', '#foryoupage', '#funnyanimals', '#talkingdog', '#rxckstxr', '#pets', '#dogs', '#funnypetvideos', '#petsoftiktok']",9
555900,2533,22800,"['#petsoftiktok', '#labpuppy', '#labradorretriever', '#fyp', '#viral', '#chocolatelab', '#1min', '#longervideos', '#puppylove', '#creatorsearchinsights', '#dogmom', '#spoileddog', '#funnydog', '#dogsoftiktok', '#puppylove', '#funnydogs', '#crazypuppy', '#souldog']",18
602400,2685,192800,"['#pet', '#dog', '#dogs', '#dogsoftiktok', '#petsoftiktok', '#funnymoments', '#funny', '#animals', '#dogtok', '#funnyvideos', '#funnydogs', '#foryou']",12
2800000,16700,221700,"['#dogsoftiktok', '#fyp', '#foryoupage', '#viraltiktok', '#viraldogvideos', '#puptok', '#pettok']",7
1100000,4444,142900,"['#yawningdog', '#puppiesoftiktok', '#dogsoftiktok', '#puppydog', '#puppytok', '#cutepuppycheck', '#cutepuppies']",7
648900,2025,38200,"['#semopets', '#southeastmissouri', '#animalshelter', '#adoptme', '#adoptdontshop', '#dogsoftiktok', '#dog', '#fyp', '#foryoupage', '#shelterdog', '#pov']",11
8000000,24200,835700,"['#streetportrait', '#dogsofinstagram', '#cutedogs', '#puppy', '#puppylove', '#dogphotography']",6
3100000,13800,54500,"['#pet', '#fyp', '#xuhuong', '#trending', '#dog', '#dogsoftiktok', '#petsoftiktok']",7
2800000,8018,1100000,"['#dogsoftiktok', '#fyp']",2
3800000,18500,545400,"['#dog', '#dogsoftiktok', '#dogs', '#dachshund', '#wienerdog', '#minidachshund', '#fyp']",7
