likes,comments,shares,hashtags,num_hashtags,tag_#dog,tag_#dogsoftiktok,tag_#fyp,tag_#puppy,tag_#dogs,tag_#foryou,tag_#funny,tag_#pet,tag_#funnydog,tag_#doglover,log_likes,log_comments,log_shares,likes_per_hashtag,comments_to_likes
12700,253,2249,"['#happydog', '#dog', '#funnyvideos', '#funnydogs', '#dogsoftiktok', '#cutedog']",6,1,1,0,0,0,0,0,0,0,0,9.44943600950432,5.537334267018537,7.718685495198466,2116.6666666666665,0.019921259842519686
3900000,12100,495200,"['#dog', '#dogsoftiktok', '#fyp', '#foryou', '#funny', '#pet', '#puppy']",7,1,1,1,1,0,1,1,1,0,0,15.176487367510099,9.401043372798053,13.112719019736591,557142.8571428572,0.0031025641025641025
1600000,59200,1000000,"['#dog', '#pee', '#wow', '#shoutoutot']",4,1,0,0,0,0,0,0,0,0,0,14.285514812209815,10.988693712621323,13.815511557963774,400000.0,0.037
128800,302,21900,"['#staffy', '#mylathebluestaffy', '#talkingdog', '#staffordshirebullterrier', '#bluestaffy', '#staffie', '#dogtrend', '#viraldog', '#mylaslife', '#dogtok', '#funnydog', '#dogfail']",12,0,0,0,0,0,0,0,0,1,0,11.766023856597407,5.713732805509369,9.994287576862567,10733.333333333334,0.00234472049689441
235400,183,9315,"['#funnydog', '#funnypet', '#cutedog', '#dogoftiktok', '#doglover', '#dog']",6,1,0,0,0,0,0,0,0,1,1,12.36904572188765,5.214935757608986,9.139488631004232,39233.333333333336,0.0007774001699235344
1399,74,77,"['#ドーベルマン', '#doberman', '#dobie', '#dobermanpinscher', '#dobermann', '#dobermanpride', '#dogasmr', '#asmr', '#咀嚼音', '#犬ご飯', '#mukbang', '#rawfood', '#dogmukbang', '#dogeating', '#犬の咀嚼音', '#rawfeeding']",16,0,0,0,0,0,0,0,0,0,0,7.24422751560335,4.31748811353631,4.356708826689592,87.4375,0.05289492494639028
1300000,4554,190100,"['#dog', '#funny', '#funnyanimals', '#funnypets', '#animals', '#dogsofttiktok', '#pet', '#foryou', '#longervideos']",9,1,0,0,0,0,1,1,1,0,0,14.077875591662238,8.423980809694058,12.155310788851953,144444.44444444444,0.003503076923076923
624900,976,121500,"['#pug', '#dog', '#dogsoftiktok', '#petsoftiktok']",4,1,1,0,0,0,0,0,0,0,0,13.345348516171933,6.884486652042782,11.707677772181546,156225.0,0.0015618498959833573
372,13,72,"['#dog', '#dogsoftiktok', '#dogtok', '#pet', '#doglife', '#funny', '#funnyvideos', '#dogfunnyvideo', '#petsoftiktok', '#fyp']",10,1,1,1,0,0,0,1,1,0,0,5.921578419643816,2.639057329615259,4.290459441148391,37.2,0.03494623655913978
865700,1591,131000,"['#foryou', '#foryoupage', '#dogs', '#dunkindadawg', '#viral', '#fyp']",6,0,0,1,0,1,1,0,0,0,0,13.67129486233777,7.3727463664043285,11.782960235741939,144283.33333333334,0.0018378191059258404
354,9,10,"['#goldenretriever', '#dogtalk', '#dog']",3,1,0,0,0,0,0,0,0,0,0,5.872117789475416,2.302585092994046,2.3978952727983707,118.0,0.025423728813559324
3859,143,132,"['#dogpack', '#dogsnacks', '#dogsoftiktok', '#doglovers']",4,0,1,0,0,0,0,0,0,0,0,8.258422462458876,4.969813299576001,4.890349128221754,964.75,0.037056232184503754
6594,159,560,"['#puppy', '#cockerspaniel', '#bluey', '#dogsoftiktok', '#fyp', '#blueytok']",6,0,1,1,1,0,0,0,0,0,0,8.794067065151415,5.075173815233827,6.329720905522696,1099.0,0.024112829845313922
13700,86,1102,"['#funnydog', '#funnypet', '#cutedog', '#dogsoftiktok', '#doglover', '#dog']",6,1,1,0,0,0,0,0,0,1,1,9.525224101853109,4.465908118654584,7.005789019253503,2283.3333333333335,0.006277372262773723
9845,196,125,"['#dogmeeting', '#foryou', '#viral_video', '#unfreezemyacount', '#puppydog', '#trending', '#santawithkashmir', '#dog']",8,1,0,0,0,0,1,0,0,0,0,9.194820560318146,5.2832037287379885,4.836281906951478,1230.625,0.019908583037074656
2201,66,54,"['#fyp', '#foryou', '#viral', '#trending', '#rescuedog', '#rescuepet', '#talkingdog', '#sendhelp', '#sassydog', '#cutedog', '#dogsoftiktok', '#petsoftiktok']",12,0,1,1,0,0,1,0,0,0,0,7.697121317282625,4.204692619390966,4.007333185232471,183.41666666666666,0.029986369831894594
5527,14,1608,"['#me', '#nerd', '#glasses', '#dog', '#dogs']",5,1,0,0,0,1,0,0,0,0,0,8.617581365447506,2.70805020110221,7.3833681469923835,1105.4,0.0025330197213678306
776100,3424,175300,"['#dog', '#dogs', '#doglovers', '#dogoftiktok', '#fyp', '#fypツ', '#foryou', '#funny', '#foryoupage', '#funnyvideos', '#funnydog', '#funnytiktok', '#funnyanimals']",13,1,0,1,0,1,1,1,0,1,0,13.56203794533515,8.138856750696325,12.074259775399616,59700.0,0.004411802602757376
1132,2436,22,"['#art', '#drawing', '#tiktokart', '#foryou', '#profilepicture']",5,0,0,0,0,0,1,0,0,0,0,7.0326242610280065,7.798523053625206,3.1354942159291497,226.4,2.1519434628975267
59,4,3,"['#goldenretriever', '#pov', '#puppy', '#funnyvideo']",4,0,0,0,1,0,0,0,0,0,0,4.0943445622221,1.6094379124341003,1.3862943611198906,14.75,0.06779661016949153
11100,200,2244,"['#foryou', '#dogmeetingpuppy', '#unfreezemyaccoun', '#growmyaccount', '#virltiktok', '#viralvideos', '#foryoupagee', '#sat']",8,0,0,0,0,0,1,0,0,0,0,9.314790473332646,5.303304908059076,7.716460800176355,1387.5,0.018018018018018018
130,5,8,"['#puppytrend', '#dogtrend', '#goldenretriever', '#goldenretrieverpuppy']",4,0,0,0,0,0,0,0,0,0,0,4.875197323201151,1.791759469228055,2.1972245773362196,32.5,0.038461538461538464
287,7,13,['#dog'],1,1,0,0,0,0,0,0,0,0,0,5.662960480135946,2.0794415416798357,2.639057329615259,287.0,0.024390243902439025
1900000,3198,390300,"['#foryou', '#foryoupage', '#viral', '#dunkindadawg', '#fyp']",5,0,0,1,0,0,1,0,0,0,0,14.45736497045232,8.070593539949519,12.874673515297118,380000.0,0.0016831578947368421
847500,2393,213700,"['#me', '#germanshepherd', '#germanshepherds', '#dog', '#dogs']",5,1,0,0,0,1,0,0,0,0,0,13.65004729817705,7.780720886117918,12.272333120753473,169500.0,0.002823598820058997
4800000,16800,282000,"['#cattledog', '#australiancattledog', '#blueheeler', '#sickpet']",4,0,0,0,0,0,0,0,0,0,0,15.38412668421143,9.729193687429403,12.549665896013254,1200000.0,0.0035
114,4,3,['#dog'],1,1,0,0,0,0,0,0,0,0,0,4.74493212836325,1.6094379124341003,1.3862943611198906,114.0,0.03508771929824561
31000000,193000,4900000,"['#SunsetViews', '#Dog', '#sunset']",3,1,0,0,0,0,0,0,0,0,0,17.249497794707484,12.170450649220749,15.404745967162468,10333333.333333334,0.006225806451612903
947500,4274,121800,"['#puppy', '#cockerspaniel', '#dogsoftiktok', '#puppylove', '#cutepuppy']",5,0,1,0,1,0,0,0,0,0,0,13.761583271347133,8.360539381370861,11.710143844404854,189500.0,0.004510817941952507
223600,1120,36800,"['#dog', '#cachorro', '#perros', '#dogsoftiktok', '#perro', '#dogs', '#bebes', '#amor', '#risas', '#viralvideos', '#loveyou', '#besos', '#relationship', '#puppy', '#miraflores_lima_peru', '#sanisidro', '#arequipa', '#viralvideos', '#perú', '#peru', '#lima']",21,1,1,0,1,1,0,0,0,0,0,12.317618492524995,7.02197642307216,10.513280297700861,10647.619047619048,0.005008944543828265
36100,73,4742,['#dog'],1,1,0,0,0,0,0,0,0,0,0,10.494075844768336,4.304065093204169,8.464425125877582,36100.0,0.0020221606648199446
